timestamp,method,feature,time,status
"2023-04-17 16:59:28.723","GET","/authenticated/audit/list-mine","46","200 OK"
"2023-04-17 16:59:30.062","GET","/authenticated/audit/show","18","200 OK"
"2023-04-17 16:59:30.22","GET","/authenticated/audit/show","11","200 OK"
"2023-04-17 16:59:32.019","GET","/authenticated/auditing-record/list","19","200 OK"
"2023-04-17 16:59:33.094","GET","/authenticated/auditing-record/show","12","200 OK"
"2023-04-17 16:59:33.264","GET","/authenticated/auditing-record/show","7","200 OK"
"2023-04-17 16:59:50.601","POST","/authenticated/auditing-record/update","100","200 OK"
"2023-04-17 16:59:50.825","GET","/authenticated/auditing-record/list","15","200 OK"
"2023-04-17 16:59:55.989","GET","/authenticated/auditing-record/create","5","500 INTERNAL_SERVER_ERROR"
"2023-04-17 17:00:20.876","GET","/authenticated/auditing-record/list","11","200 OK"
"2023-04-17 17:00:22.146","GET","/authenticated/auditing-record/create","16","200 OK"
"2023-04-17 17:00:35.737","POST","/authenticated/auditing-record/create","34","200 OK"
"2023-04-17 17:00:35.988","GET","/authenticated/auditing-record/list","19","200 OK"
