timestamp,method,feature,time,status
"2023-04-17 16:45:23.31","GET","/authenticated/audit/list-mine","55","200 OK"
"2023-04-17 16:45:25.047","GET","/authenticated/audit/show","21","200 OK"
"2023-04-17 16:45:25.213","GET","/authenticated/audit/show","10","200 OK"
"2023-04-17 16:45:26.838","GET","/authenticated/auditing-record/list","21","200 OK"
"2023-04-17 16:45:28.092","GET","/authenticated/auditing-record/show","15","200 OK"
"2023-04-17 16:45:28.261","GET","/authenticated/auditing-record/show","11","200 OK"
"2023-04-17 16:45:39.661","POST","/authenticated/auditing-record/update","7641","500 INTERNAL_SERVER_ERROR"
"2023-04-17 16:45:55.02","GET","/authenticated/auditing-record/show","7","200 OK"
"2023-04-17 16:46:18.961","POST","/authenticated/auditing-record/update","21848","500 INTERNAL_SERVER_ERROR"
"2023-04-17 16:46:53.036","POST","/authenticated/auditing-record/update","10068","500 INTERNAL_SERVER_ERROR"
"2023-04-17 16:46:55.979","GET","/authenticated/auditing-record/show","8","200 OK"
"2023-04-17 16:47:28.316","POST","/authenticated/auditing-record/update","30260","500 INTERNAL_SERVER_ERROR"
"2023-04-17 16:48:13.031","GET","/authenticated/auditing-record/show","8","200 OK"
"2023-04-17 16:48:51.951","POST","/authenticated/auditing-record/update","36417","500 INTERNAL_SERVER_ERROR"
