timestamp,method,feature,time,status
"2023-04-14 10:06:08.104","GET","/authenticated/audit/list-mine","120","200 OK"
"2023-04-14 10:06:39.364","GET","/authenticated/audit/show","40","200 OK"
"2023-04-14 10:06:39.956","GET","/authenticated/audit/show","32","200 OK"
"2023-04-14 10:06:40.173","GET","/authenticated/audit/show","24","200 OK"
"2023-04-14 10:06:40.733","GET","/authenticated/audit/show","24","200 OK"
"2023-04-14 10:06:41.005","GET","/authenticated/audit/show","24","200 OK"
"2023-04-14 10:07:08.485","POST","/authenticated/audit/update","13822","200 OK"
"2023-04-14 10:07:09.122","GET","/authenticated/audit/list-mine","33","200 OK"
"2023-04-14 10:07:41.177","GET","/authenticated/audit/show","19","200 OK"
"2023-04-14 10:07:41.433","GET","/authenticated/audit/show","39","200 OK"
"2023-04-14 10:08:08.773","POST","/authenticated/audit/update","3849","200 OK"
"2023-04-14 10:08:09.314","GET","/authenticated/audit/list-mine","32","200 OK"
"2023-04-14 10:08:39.583","GET","/authenticated/audit/show","24","200 OK"
"2023-04-14 10:08:39.766","GET","/authenticated/audit/show","18","200 OK"
"2023-04-14 10:08:51.644","POST","/authenticated/audit/update","6837","200 OK"
"2023-04-14 10:08:52.108","GET","/authenticated/audit/list-mine","24","200 OK"
"2023-04-14 10:08:54.64","GET","/authenticated/audit/show","21","200 OK"
"2023-04-14 10:08:54.984","GET","/authenticated/audit/show","16","200 OK"
"2023-04-14 10:09:30.982","POST","/authenticated/audit/update","28314","200 OK"
"2023-04-14 10:09:31.523","GET","/authenticated/audit/list-mine","28","200 OK"
"2023-04-14 10:10:13.489","GET","/authenticated/audit/show","21","200 OK"
"2023-04-14 10:10:13.691","GET","/authenticated/audit/show","17","200 OK"
"2023-04-14 10:11:13.736","GET","/authenticated/audit/show","20","200 OK"
"2023-04-14 10:11:18.166","GET","/authenticated/audit/list-mine","24","200 OK"
"2023-04-14 10:11:19.616","GET","/authenticated/audit/show","16","200 OK"
"2023-04-14 10:11:19.896","GET","/authenticated/audit/show","16","200 OK"
"2023-04-14 10:11:21.658","GET","/authenticated/audit/list-mine","24","200 OK"
"2023-04-14 10:11:23.044","GET","/authenticated/audit/show","24","200 OK"
"2023-04-14 10:11:23.236","GET","/authenticated/audit/show","16","200 OK"
"2023-04-14 10:11:56.296","GET","/authenticated/audit/show","16","200 OK"
"2023-04-14 10:11:59.702","GET","/authenticated/audit/list-mine","15","200 OK"
"2023-04-14 10:12:01.297","GET","/authenticated/audit/show","16","200 OK"
"2023-04-14 10:12:01.489","GET","/authenticated/audit/show","16","200 OK"
"2023-04-14 10:12:42.615","GET","/authenticated/audit/show","16","200 OK"
"2023-04-14 10:12:46.201","GET","/authenticated/audit/list-mine","17","200 OK"
"2023-04-14 10:12:48.158","GET","/authenticated/audit/show","16","200 OK"
"2023-04-14 10:12:48.342","GET","/authenticated/audit/show","16","200 OK"
"2023-04-14 10:17:27.357","GET","/authenticated/audit/show","19","200 OK"
